id,question,bleu1,bleu2,bleu3,bleu4,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bert_precision,bert_recall,bert_f1
1,ใครบ้างที่มีหน้าที่เสียภาษีเงินได้บุคคลธรรมดา?,0.20802005012531324,0.20061177700846797,0.19160369143074238,0.1784352220952467,0.20243902439024392,1.0,0.3367139959432049,0.17359413202933985,0.8658536585365854,0.2892057026476578,0.17804878048780487,0.8795180722891566,0.2961460446247464,0.8435231,0.9684362,0.90167403
2,เงินได้ประเภทใดบ้างที่ต้องเสียภาษีเงินได้บุคคลธรรมดา?,0.34269662921348315,0.31055386695623044,0.2787981129850358,0.2396410500748418,0.33455210237659966,0.9432989690721649,0.49392712550607293,0.2600732600732601,0.7357512953367875,0.38430311231393777,0.31992687385740404,0.9020618556701031,0.4723346828609987,0.8517915,0.9217511,0.8853914
3,เมื่อมีเงินได้แล้ว ผู้มีหน้าที่เสียภาษีจะต้องดำเนินการอย่างไร?,0.20202020202020202,0.16301116649062314,0.13620979151033438,0.10971751768111614,0.19230769230769232,0.821917808219178,0.31168831168831174,0.12038523274478331,0.5172413793103449,0.1953125,0.15064102564102563,0.6438356164383562,0.24415584415584413,0.8214116,0.899663,0.85875833
4,ผู้ที่มีเงินได้เกิดขึ้นระหว่างปีภาษีทุกกรณีต้องยื่นแบบเสียภาษีหรือไม่?,0.45103857566765576,0.4177427111614963,0.3892195634759329,0.3563582000984037,0.43304843304843305,0.987012987012987,0.601980198019802,0.3457142857142857,0.7908496732026143,0.4811133200795228,0.4074074074074074,0.9285714285714286,0.5663366336633663,0.8935311,0.93906593,0.9157328
5,วิธีการคำนวณภาษีเงินได้บุคคลธรรมดาสิ้นปีต้องทำอย่างไร?,0.5214521452145214,0.469731326714947,0.42923161928272247,0.38728883794869107,0.49763779527559054,0.8977272727272727,0.6403242147922998,0.38958990536277605,0.7037037037037037,0.5015228426395939,0.4330708661417323,0.78125,0.5572441742654508,0.8927598,0.92504054,0.90861356
6,เงินได้พึงประเมินแต่ละประเภทสามารถหักค่าใช้จ่ายได้เท่าไร?,0.6170212765957447,0.5735003046770618,0.5376291297996381,0.496442909921718,0.5811623246492986,0.8841463414634146,0.7013301088270859,0.4759036144578313,0.7247706422018348,0.5745454545454545,0.5410821643286573,0.823170731707317,0.652962515114873,0.89903605,0.925108,0.9118857
7,แบบแสดงรายการภาษีเงินได้บุคคลธรรมดาประเภทใดบ้างที่ต้องยื่น และยื่นเมื่อใด?,0.4667931688804554,0.36363234619595786,0.31075274421228466,0.2618109448147524,0.44565217391304346,0.8338983050847457,0.5808736717827627,0.24682395644283123,0.46258503401360546,0.32189349112426036,0.338768115942029,0.6338983050847458,0.44155844155844154,0.8570678,0.9100075,0.8827446
8,มีวิธีการชำระภาษีเงินได้บุคคลธรรมดาวิธีใดบ้าง?,0.432,0.37794932382895663,0.335178152487653,0.2947681731678438,0.41064638783269963,0.8503937007874016,0.5538461538461539,0.2857142857142857,0.5928853754940712,0.3856041131105399,0.2889733840304182,0.5984251968503937,0.3897435897435897,0.87873966,0.9256853,0.9016018
9,หากไม่ชำระภาษีภายในกำหนดเวลาหรือชำระไม่ถูกต้อง จะมีบทลงโทษอย่างไร?,0.22792362768496421,0.18076842259411163,0.14397681013700833,0.10972064044524758,0.2165532879818594,0.6821428571428572,0.3287435456110155,0.13053348467650397,0.4121863799283154,0.19827586206896552,0.11337868480725624,0.35714285714285715,0.1721170395869191,0.81148833,0.82634604,0.81884986
10,ผู้มีเงินได้สามารถหักลดหย่อนภาษีอะไรได้บ้าง?,0.4672489082969432,0.4017781019984108,0.3424701677220893,0.2903387163683559,0.45403111739745405,0.8209718670076727,0.5846994535519127,0.3031161473087819,0.5487179487179488,0.39051094890510957,0.33097595473833097,0.59846547314578,0.4262295081967213,0.8687047,0.90064985,0.88438886
