บัญชีอัตราภาษีเงินได้บุคคลธรรมดา เริ่มใช้ปีภาษี 2560


| เงินได้สุทธิ (บาท) | ช่วงเงินได้สุทธิ ของแต่ละขั้น | อัตราภาษี (ร้อยละ) |
|---|---|---|
| 1 - 150,000 | 150,000 | ได้รับยกเว้น |
| 150,001 - 300,000 | 150,000 | 5 |
| 300,001 - 500,000 | 200,000 | 10 |
| 500,001 - 750,000 | 250,000 | 15 |
| 750,001 - 1,000,000 | 250,000 | 20 |
| 1,000,001 - 2,000,000 | 1,000,000 | 25 |
| 2,000,001 - 5,000,000 | 3,000,000 | 30 |
| 5,000,001 บาทขึ้นไป | - | 35 |


หมายเหตุ : เงินได้สุทธิเฉพาะส่วนที่เกิน 150,000 บาท ยังคงได้รับยกเว้นตามพระราชกฤษฎีกา ว่าด้วยการยกเว้นรัษฎากร (ฉบับที่ 470) พ.ศ.2551
